source_sentence,target_sentence
Typical rural areas have a low population density and small settlements.,ⵜⵉⵎⵏⴰⴹⵉⵏ ⵏ ⵜⴳⴰⵎⴰ ⵜⵉⵎⴷⵢⴰⵜⵉⵏ ⵎⵉ ⵖⵓⵔ ⵜⴰⵏⵥⵥⵉ ⵏ ⵉⵎⵣⴷⴰⵖ ⵉⴷⵔⵓⵙⵏ ⴷ ⵜⵣⴷⵓⵖⵉⵏ ⵜⵉⵎⵥⵥⵢⴰⵏⵉⵏ.
Predominantly urban regions have less than 15 percent of their population living in a rural community.,ⵜⵉⵎⵏⴰⴹⵉⵏ ⵉⵜⵜⵢⴰⵙⵙⵏⵏ ⵙ ⵜⴰⵍⵖⴰ ⵜⴰⵖⵔⵎⴰⵏⵜ ⴷⴰ ⴷⵉⴳⵙ ⵜⵜⵉⴷⵉⵔⵏ ⵡⴰⵜⵜⴰⵢ ⵏ 15 ⴳ ⵜⵎⵉⴹⵉ ⵏ ⵉⵎⵣⴷⴰⵖ ⵏⵏⵙ ⴳ ⵜⴳⴰⵎⴰ.
"Rural northern regions are predominantly rural census divisions that are found either entirely or mostly above the following lines of parallel in each province: Newfoundland and Labrador, 50th; Quebec 54th; Ontario, 54th; Manitoba, 53rd; Saskatchewan, Alberta and British Columbia, 54th.","ⵜⵉⵎⵏⴰⴹⵉⵏ ⵏ ⵜⴳⴰⵎⴰ ⵏ ⵉⵥⵥⵍⵎⴹ ⴳⴰⵏⵜ ⵜⵉⴳⵣⵣⵓⵎⵉⵏ ⵏ ⵜⴳⴰⵎⴰ ⴽⵓⵍⵍⵓ ⵏⵖ ⵙ ⵓⵎⴰⵜⴰ ⵍⵍⴰⵏⵜ ⵅⴼ ⵉⵣⴳⵉⴳⵏ ⵏ ⵜⵎⵏⴰⴹⵉⵏ ⵏ : ⵏⵢⵓⴼⴰⵡⵏⵍⴰⵏⴷ ⴷ ⵍⴰⴱⵔⴰⴷⵓⵔ, ⵜⵉⵙ 50; ⴽⵉⴱⵉⴽ ⵜⵉⵙ 54; ⵓⵏⵜⴰⵔⵢⵓ, ⵜⵉⵙ 54; ⵎⴰⵏⵉⵜⵓⴱⴰ, ⵜⵉⵙ 53; ⵙⴰⵙⴽⴰⵜⵛⵉⵡⴰⵏ, ⴰⵍⴱⵉⵔⵜⴰ ⴷ ⴽⵓⵍⵓⵎⴱⵢⴰ ⵜⴰⴱⵕⵉⵟⴰⵏⵉⵜ, ⵜⵉⵙ 54."
"The U.S. Census Bureau, the USDA's Economic Research Service, and the Office of Management and Budget (OMB) have come together to help define rural areas.","ⵉⵎⵓⵏ ⵓⵙⵉⵔⴰ ⵏ ⵓⵙⵉⴹⵏ ⴰⵎⵉⵔⵉⴽⴰⵏⵉ, ⴷ ⵓⵙⵡⵓⵔⵉ ⵏ ⵉⵔⵣⵣⵓⵜⵏ ⵉⴷⴰⵎⵙⴰⵏⵏ ⴳ ⵜⵎⴰⵡⴰⵙⵜ ⵏ ⵜⴽⵔⵣⴰ ⵜⴰⵎⵉⵔⵉⴽⴰⵏⵉⵜ, ⴷ ⵓⵙⵉⵔⴰ ⵏ ⵜⴷⴱⵍⵜ ⴷ ⵉⵇⴰⵕⵉⴹⵏ (OMB) ⵎⴰⵕⵕⴰ ⵉ ⵢⵉⵡⵙ ⵅⴼ ⵢⵉⴼⵉ ⵏ ⵜⵎⵏⴰⴹⵉⵏ ⵏ ⵜⴳⴰⵎⴰ."
"The 2002 farm bill (P.L. 107–171, Sec.","ⵜⴰⴼⴰⵜⵓⵔⵜ ⵏ ⵓⵎⴽⵔⴰⵣ ⵉ ⵓⵙⴳⴳⵯⴰⵙ ⵏ 2002 (P.L. 107–171, Sec."
"""According to the handbook, Definitions of Rural: A Handbook for Health Policy Makers and Researchers, """"Residents of metropolitan counties are generally thought to have easy access to the relatively concentrated health services of the county's central areas.""","ⵙ ⵜⵓⵎⴰⵢⵜ ⵏ ⵜⴷⵍⵉⵙⵜ, ⵉⵙⵏⵎⴰⵍ ⵏ ⵜⴳⴰⵎⴰ: ⵜⴰⴷⵍⵉⵙⵜ ⵏ ⵉⵎⴳⵜⵏ ⵏ ⵜⵙⵔⵜⵉⵜⵉⵏ ⵜⵉⴷⵓⵙⴰⵏⵉⵏ ⴷ ⵉⵎⵔⵣⵓⵜⵏ, ““ⵉⵎⵣⴷⴰⵖ ⵏ ⵜⴳⵔⴰⵡⵉⵏ ⵜⵉⵖⵔⵎⴰⵏⵉⵏ ⵖⵓⵔⵙⵏ ⵙ ⵓⵎⴰⵜⴰ ⵜⴰⵣⵎⵔⵜ ⵏ ⵢⵉⵡⴹ ⵖⵔ ⵜⵡⵓⵔⵉⵡⵉⵏ ⵜⵉⴷⵓⵙⴰⵏⵉⵏ ⵉⴳⴳⵓⴷⵉⵏ ⴳ ⵜⵎⵏⴰⴹⵉⵏ ⵜⵉⵏⴰⵎⵎⴰⵙⵉⵏ ⵏ ⵜⴳⵔⴰⵡⵜ.”"
"""This became the Goldsmith Modification definition of rural. """"""",“ⵉⴳⴰ ⵓⵙⵏⵎⵍ ⴰⴷ ⴼⴼⵉⵔ ⴰⵙⵏⴼⵍ ⵏ ⴳⵓⵍⴷⵙⵎⵉⵜ ⵉ ⵓⵔⵎⵎⵓⵙ ⵏ ⵜⴳⴰⵎⴰ.”””
"""President Emmanuel Macron government launched an action plan in 2019 in favour for rural areas named """"Agenda Rural"""".""",“ⵜⴼⴽⴰ ⵜⵏⴱⴰⴹⵜ ⵏ ⵓⵏⵙⵙⵉⵅⴼ ⵉⵎⴰⵏⵡⵉⵍ ⵎⴰⴽⵕⵓⵏ ⴰⵙⵖⵉⵡⵙ ⵏ ⵜⵡⵓⵔⵉ ⴳ ⵓⵙⴳⴳⵯⴰⵙ ⵏ 2019 ⵉ ⵜⵎⵏⴰⴹⵉⵏ ⵏ ⵜⴳⴰⵎⴰ ⵎⵉ ⵉⵜⵜⵓⴼⴽⴰ ⵡⴰⵙⵙⴰⵖ ⵏ ““ⴰⵊⵉⵏⴷⴰ ⵏ ⵜⴳⴰⵎⴰ””.”
In Scotland a different definition of rural is used.,"ⴳ ⵙⴽⵓⵜⵍⴰⵏⴷⴰ, ⴷⴰ ⵉⵜⵜⵓⵙⵡⵓⵔⵉ ⵓⵙⵏⵎⵍ ⵢⴰⴹⵏ ⵉ ⵜⴳⴰⵎⴰ."
"RBI defines rural areas as those areas with a population of less than 49,000 (tier -3 to tier-6 cities).",ⵉⴼⴽⴰ RBI ⴰⵙⵏⵎⵍ ⵉ ⵜⵎⵏⴰⴹⵉⵏ ⵏ ⵜⴳⴰⵎⴰ ⵉⵙ ⴳⴰⵏⵜ ⵜⵉⵎⵏⴰⴹⵉⵏ ⴳ ⵉⵣⴷⵖ ⴷⴷⴰⵡ ⵏ 49000 (ⵙⴳ ⵓⵙⵡⵉⵔ ⵏ -3 ⴰⵔ ⵜⵉⵎⴷⵉⵏⵉⵏ ⵏ ⵓⵙⵡⵉⵔ ⵡⵉⵙ 6).
Rural areas in Pakistan that are near cities are considered as suburban areas or suburbs.,ⴳⴰⵏⵜ ⵜⵎⵏⴰⴹⵉⵏ ⵏ ⵜⴳⴰⵎⴰ ⴳ ⴱⴰⴽⵉⵙⵜⴰⵏ ⵜⵉⴷ ⵉⵏⵎⴰⵍⴰⵏ ⵜⵉⵎⴷⵉⵏⵉⵏ ⵜⵉⴷⴰⵡⵖⵔⵎⴰⵏⵉⵏ ⵏⵖ ⴷ ⵜⵉⴷⴰⵡⵖⵔⵎ.
"Suburbs might have their own political or legal jurisdiction, especially in the United States, but this is not always the case, especially in the United Kingdom where most suburbs are located within the administrative boundaries of cities.","ⵉⵖⵢ ⴰⴷ ⵢⵉⵍⵉ ⵖⵓⵔ ⵜⵡⵏⵏⴰⴹ ⵡⴰⵜⵉⴳ ⵏⵏⵙⵏⵜ ⴰⵙⵔⵜⴰⵏ ⵏⵖ ⴷ ⴰⵣⵔⴼⴰⵏ, ⵍⵓⵎⵏ ⴳ ⵜⵡⵉⵍⴰⵢⴰⵜⵉⵏ ⵎⵓⵏⵏⵉⵏ, ⵎⴰⴽⴰ ⵓⵔ ⵉⵎⴽ ⵉ ⴰⵀⴰ, ⵍⵓⵎⵏ ⴳ ⵜⴳⵍⴷⵉⵜ ⵉⵎⵓⵏⵏ ⴳ ⵍⵍⴰⵏⵜ ⵜⵡⵏⵏⴰⴹ ⴰⴳⵏⵙⵓ ⵏ ⵉⵡⵜⵜⴰ ⵉⴷⴱⵍⴰⵏⵏ ⵉ ⵜⵎⴷⵉⵏⵉⵏ."
"In others, such as Morocco, France, and much of the United States, many suburbs remain separate municipalities or are governed locally as part of a larger metropolitan area such as a county, district or borough.","ⴳ ⵜⵉⵢⵢⴰⴹ ⵣⵓⵏ ⴷ ⴰⵎⵓⵕⴰⴽⵓⵛ ⴷ ⴼⵕⴰⵏⵙⴰ ⴷ ⵢⴰⵏ ⵡⵓⵙⵙⵉⴼ ⴰⵅⴰⵜⴰⵔ ⴳ ⵜⵡⵉⵍⴰⵢⴰⵜⵉⵏ ⵎⵓⵏⵏⵉⵏ, ⴳⴰⵏⵜ ⴽⵉⴳⴰⵏ ⵏ ⵜⵡⵏⵏⴰⴹ ⵜⵉⴳⵔⴰⵡⵉⵏ ⵜⵉⵖⵔⵎⴰⵏⵉⵏ ⵉⵙⵜⵉⵏ ⴰⵙ ⵙⵙⵓⴷⵓⵏⵜ ⴰⴳⵏⵙⵓ ⵏ ⵜⵎⵏⴰⴹⵜ ⵜⴰⵖⵔⵎⴰⵏⵜ ⵣⵓⵏ ⴷ ⵜⴰⴳⵔⴰⵡⵜ."
"The terms inner suburb and outer suburb are used to differentiate between the higher-density areas in proximity to the city centre (which would not be referred to as 'suburbs' in most other countries), and the lower-density suburbs on the outskirts of the urban area.","ⴷⴰ ⵏⵙⵡⵓⵔⵉ ⵉⵔⵎⵎⵓⵙⵏ ⵜⴰⵡⵏⵏⴰⴹⵜ ⵏ ⵓⴳⵏⵙⵓ ⴷ ⵜⵡⵏⵏⴰⴹⵜ ⵏ ⴱⵕⵕⴰ ⵉ ⵡⴰⴷ ⵏⴱⴹⵓ ⴳⵔ ⵜⵎⵏⴰⴹⵉⵏ ⴳ ⵜⵍⵍⴰ ⵜⴰⵏⵥⵥⵉ ⵜⴰⵅⴰⵜⴰⵔⵜ ⵜⴰⵎⴰ ⵏ ⵡⴰⵎⵎⴰⵙ ⵏ ⵜⵎⴷⵉⵏⵜ (ⵎⵉ ⵖⵓⵔ ⴰⵙⵙⴰⵖ ⵏ “ⵜⴰⵡⵏⵏⴰⴹⵜ” ⴳ ⴽⵉⴳⴰⵏ ⵏ ⵜⵎⵉⵣⴰⵔ ⵢⴰⴹⵏ), ⴷ ⵜⵡⵏⵏⴰⴹ ⵎⵉ ⵖⵓⵔ ⵜⴰⵏⵥⵥⵉ ⵉⴷⵔⵓⵙⵏ ⴳ ⵜⵡⵏⵏⴰⴹ ⵏ ⵡⴰⵏⵙⴰ ⴰⵖⵔⵎⴰⵏ."
"In New Zealand, most suburbs are not legally defined, which can lead to confusion as to where they may begin and end.","ⴳ ⵏⵢⵓⵣⵉⵍⴰⵏⴷⴰ, ⵓⵔ ⵜⵜⵓⵙⵏⵎⵍⵏ ⴽⵉⴳⴰⵏ ⵏ ⵡⴰⵏⵙⵉⵡⵏ ⵏ ⵜⵡⵏⵏⴰⴹⵜ ⵙ ⵜⴰⵍⵖⴰ ⵜⴰⵣⵔⴼⴰⵏⵜ, ⴰⵢⵏⵏⴰ ⴷ ⵢⴰⴽⴽⴰⵏ ⴰⵔⴱⴱⵊ ⴳ ⵡⴰⵏⵙⴰ ⴳ ⵜⵙⵙⵏⵓ ⴷ ⵡⴰⵏⵙⴰ ⴳ ⵜⴻⵜⵜⴼⵓⴽⴽⵓ."
The word suburbani was first employed by the Roman statesman Cicero in reference to the large villas and estates built by the wealthy patricians of Rome on the city's outskirts.,ⵉⵜⵜⵓⵙⵡⵓⵔⴰ ⵢⵉⵔⵎ ⴰⴷⴰⵡⵖⵔⵎⴰⵏ ⵜⵉⴽⴽⵍⵜ ⵜⴰⵎⵣⵡⴰⵔⵓⵜ ⵙ ⵢⵉⵍⵙ ⵏ ⵓⵔⴳⴰⵣ ⵏ ⵓⵡⴰⵏⴽ ⴰⵕⵓⵎⴰⵏⵉ ⵛⵉⵛⵕⵓⵏ ⴳ ⵓⵙⵙⴽⵏ ⵏ ⵜⴼⵉⵍⵍⴰⵜⵉⵏ ⴷ ⵉⴽⴰⵍⵏ ⵉⵅⴰⵜⴰⵔⵏ ⵙⴽⴰⵏ ⵉⵔⵉⵙⵜⵓⵇⵕⴰⵟⵉⵜⵏ ⵉⵊⵊⵉⵡⵏⵏ ⴳ ⵕⵓⵎⴰ ⵜⴰⵎⴰ ⵏ ⵜⵎⴷⵉⵏⵜ.
"By the mid-19th century, the first major suburban areas were springing up around London as the city (then the largest in the world) became more overcrowded and unsanitary.","ⴳ ⵢⵓⵡⴹ ⵏ ⵡⴰⵎⵎⴰⵙ ⵏ ⵜⵙⵓⵜⴰ ⵜⵉⵙ 19, ⴼⴼⵖⵏⵜ ⴷ ⵜⵎⵏⴰⴹⵉⵏ ⵏ ⵜⵡⵏⵏⴰⴹⵜ ⵜⵉⴷⵙⵍⴰⵏⵉⵏ ⵜⵜⵉⵏⵜ ⵉ ⵍⵓⵏⴷⵓⵏ ⴰⵍⵍⵉⴳ ⵜⴳⴰ ⵜⵎⴷⵉⵏⵜ (ⵜⴰⵎⵣⵡⴰⵔⵓⵜ ⴳ ⵜⵉⵅⵅⵉⵜⵔⵜ ⴽⵓⴷ ⴰⵏⵏ) ⵜⴽⵜⴰⵔ ⵓⵍⴰ ⵜⴳⴰ ⵜⴰⴷⵓⵙⴰⵏⵜ."
The line reached Harrow in 1880.,ⵉⴳⵓⵍⴰ ⵏⵏ ⵓⵣⴳⵉⴳⵉ ⵖⵔ ⵀⴰⵔⵔⵓⵡ ⴳ ⵓⵙⴳⴳⵯⴰⵙ ⵏ 1880.
"""The Met's marketing department coined the term """"Metro-land"""" in 1915 when the Guide to the Extension Line became the Metro-land guide, priced at 1d.""","ⵉⵙⴽⴰ ⵓⴳⵣⵣⵓⵎ ⵏ ⵓⵙⴳⴷⵣ ⴳ ⵎⵉⵜ ⴰⵔⵎⵎⵓⵙ ⵏ ““ⵎⵉⵜⵔⵓⵍⴰⵏⴷ”” ⴳ ⵓⵙⴳⴳⵯⴰⵙ ⵏ 1915 ⴰⵢⵏⵏⴰ ⵢⴰⵖⵓⵍ ⵓⵏⵎⵎⴰⵍ ⵏ ⵓⵣⴳⵉⴳ ⵏ ⵓⵙⵙⵙⵉⵡⴹ ⵉⴳⴰ ⵜ ⵎⵉⵜⵔⵓⵍⴰⵏⴷ, ⵙ 1 ⵡⴰⵙⵙ.”"
"""In part, this was a response to the shocking lack of fitness amongst many recruits during World War One, attributed to poor living conditions; a belief summed up in a housing poster of the period """"you cannot expect to get an A1 population out of C3 homes"""" – referring to military fitness classifications of the period.""","ⵉⴳ ⵓⵢⴰ ⵜⴰⵎⵔⴰⵔⵓⵜ ⵅⴼ ⵓⵏⵏⴳⵣⵓ ⴰⵅⴰⵜⴰⵔ ⴳ ⵜⴷⵓⵙⵉ ⵉⵍⵍⴰⵏ ⴳ ⵉⵙⵔⴷⴰⵙⵏ ⴳ ⵉⵎⵏⵖⵉ ⴰⵎⴰⴹⵍⴰⵏ ⴰⵎⵣⵡⴰⵔⵓ, ⵙ ⵓⵎⵏⵜⵉⵍ ⵏ ⵡⴰⴷⴷⴰⴷ ⵏ ⵜⵓⴷⵔⵜ ⵏⵏⵙⵏ, ⵉⵜⵜⵢⴰⴳⵍ ⵙ ⵓⵣⴳⵣⵍ ⴳ ⵡⵓⵙⵍⵉⵖ ⵏ ⵉⵎⵣⴷⴰⵖ ⴳ ⵜⵉⵣⵉ ““ⵓⵔ ⵜⵜⴷⵎⵓⴷ ⵓⴼⵓⵖ ⵏ ⵉⵎⵣⴷⴰⵖ ⵙⴳ ⵜⴼⵔⴽⵜ A1 ⵙⴳ ⵜⴰⴷⴷⵓⵔⵉⵏ C3”” –ⵙ ⵡⵓⵖⵓⵍ ⵖⵔ ⴱⵟⵟⵓ ⵏ ⵜⴷⵓⵙⵉ ⵏ ⵉⵙⵔⴷⴰⵙⵏ ⵏ ⵜⵉⵣⵉ ⴰⵏⵏ.”"
"The Report also legislated on the required, minimum standards necessary for further suburban construction; this included regulation on the maximum housing density and their arrangement and it even made recommendations on the ideal number of bedrooms and other rooms per house.","ⵉⵎⴽⵉⵏⵏⴰ ⴷ ⵉⴼⴼⵖ ⵓⵏⵇⵇⵉⵙ ⴽⵉⴳⴰⵏ ⵏ ⵉⵙⵍⴳⴰⵏ ⵉⵙⴰⵡⴰⵍⵏ ⵅⴼ ⵜⵎⵉⵜⴰⵔ ⵉⵅⵙⵙⴰⵏ ⵉⵛⵉⵍⵏ ⵉ ⵓⵔⵏⵓ ⵏ ⵜⵉⵙⴽⵉ ⵏ ⵜⵎⵏⴰⴹⵉⵏ; ⴳ ⵉⵍⵍⴰ ⵓⵙⵓⴷⵙ ⵓⵎⵓⴷⵔⵓⵙ ⵏ ⵜⵏⵥⵥⵉ ⵏ ⵉⵎⵣⴷⴰⵖ ⴷ ⵓⵙⵓⴷⵙ ⵏⵏⵙⵏ, ⵉⴼⴽ ⴰⵍⵜⵓ ⵉⵏⴰⴹⵏ ⵅⴼ ⵓⵎⴹⴰⵏ ⵏ ⵜⵎⵚⵉⵕⵉⵏ ⵏ ⵓⵏⵓⴷⴷⵎ ⴷ ⵜⵎⵚⵉⵕⵉⵏ ⵢⴰⴹⵏ ⵏ ⴽⵓ ⵜⵉⴳⵎⵎⵉ."
Within just a decade suburbs dramatically increased in size.,"ⴳ ⵎⵔⴰⵡⵜ ⵏ ⵉⵙⴳⴳⵯⴰⵙⵏ ⴳ ⵓⵣⵎⵣ ⴷⴰⵢ, ⵜⵔⵏⴰ ⵙ ⵜⴰⵍⵖⴰ ⵜⴰⵅⴰⵜⴰⵔⵜ ⵜⵡⵏⵏⴰⴹⵜ ⴳ ⵜⴰⵙⵏⴰ."
Levittown developed as a major prototype of mass-produced housing.,ⵉⵜⵜⵓⵙⴱⵓⵖⵍⴰ ⵍⵉⴼⵉⵜⴰⵡⵏ ⴰⴷ ⵉⴳ ⴰⵎⴷⵢⴰ ⴰⵎⵣⵡⴰⵔⵓ ⴰⴷⵙⵍⴰⵏ ⵉ ⵜⵣⴷⵓⵖⵜ ⵉⵜⵜⵓⴼⴰⵔⵙⵏ ⵙ ⵜⵎⴰⵎⴽⵜ ⵜⴰⵅⴰⵜⴰⵔⵜ.
"Shopping for different goods and services in one central location without having to travel to multiple locations, helped to keep shopping centers a component of these newly designed suburbs which were booming in population.","ⵢⵓⵡⵙ ⴰⵙⴳⴷⵣ ⴳ ⵢⵉⵍⵉ ⵏ ⵎⴰ ⴰⵢ ⴷ ⵉⵜⵜⵓⵙⵖⴰⵏ ⴷ ⵜⵡⵓⵔⵉⵡⵉⵏ ⵙ ⵡⴰⵏⴰⵡⵏ ⵏⵏⵙⵏⵜ ⴳ ⵢⴰⵏ ⵡⴰⵏⵙⴰ ⴰⵏⴰⵎⵎⴰⵙ ⴱⵍⴰ ⴰⵎⵓⴷⴷⵓ ⵖⵔ ⵡⴰⵏⵙⵉⵡⵏ ⵉⴳⴳⵓⴷⵉⵏ, ⴰⴷ ⴳⵉⵏ ⵡⴰⵎⵎⴰⵙⵏ ⵏ ⵓⵙⴳⴷⵣ ⵢⴰⵏ ⵙⴳ ⵉⴼⵔⴷⵉⵙⵏ ⵏ ⵜⵎⵏⴰⴹⵉⵏ ⵎⵉ ⵉⵎⴽ ⴷⴰⵢ ⵍⵍⴰⵏⵉⵏ ⵜⵉⴷ ⴳ ⴳⴳⵓⴷⵉⵏ ⵉⵎⵣⴷⴰⵖ."
"The Highway Act of 1956 helped to fund the building of 64,000 kilometers across the nation by having $26 thousand-million to use, which helped to link many more to these shopping centers with ease.","ⵢⵓⵡⵙ ⵉ ⵓⵙⵍⴳⵏ ⵏ ⵓⴱⵔⵉⴷ ⴰⵙⴷⴷⵔⴰⴼ ⴳ ⵓⵙⴳⴳⵯⴰⵙ ⵏ 1956 ⴳ ⵜⵉⴽⴽⵉ ⵏ ⵉⵇⴰⵔⵉⴹⵏ ⵉ ⵜⵉⵙⴽⵉ ⵏ 64,000 ⵏ ⵉⴽⵉⵍⵓⵎⵉⵜⵕⵏ ⵅⴼ ⵜⵎⴰⵣⵉⵔⵜ ⵙ ⵓⵙⵡⵓⵔⵉⵉ ⵏ 26 ⵏ ⵢⵉⴼⴹⵏ ⵏ ⵉⴷ ⵎⵍⵢⵓⵏ ⴷⵓⵍⴰⵕ, ⴰⵢⵏⵏⴰ ⴷ ⵢⵓⵡⵙⵏ ⵉ ⵓⵣⴷⴰⵢ ⴰⴽⴷ ⵡⴰⵎⵎⴰⵙⵏ ⵏ ⵓⵙⴳⴷⵣ ⴰⴷ ⵜⵙⴷⴷⵔⴼ."
Some suburbs had developed around large cities where there was rail transportation to the jobs downtown.,ⵢⵉⵜⵙ ⵏ ⵜⵎⵏⴰⴹⵉⵏ ⵉⵜⵜⵉⵏ ⵉ ⵜⵎⴷⵉⵏⵉⵏ ⵜⵉⵅⴰⵜⴰⵔⵉⵏ ⵉⵍⵍⴰ ⵖⵓⵔⵙⵏⵜ ⵡⴰⵙⵙⴰⵢ ⵏ ⵓⴱⵔⵉⴷ ⵏ ⵡⵓⵣⵣⴰⵍ ⴰⵔ ⵙⵡⵓⵔⵉⵏ ⵉⵎⵣⴷⴰⵖ ⵏⵏⵙⵏⵜ ⴳ ⵡⴰⵎⵎⴰⵙ ⵏ ⵜⵎⴷⵉⵏⵜ.
The product was a great housing boom.,ⵉⴳⴰ ⵓⴼⴰⵔⵙ ⵢⴰⵜ ⵜⵙⵓⴼⵖⵜ ⵏ ⵜⵣⴷⵓⵖⵜ ⵜⴰⵅⴰⵜⵔⵜ.
"With 16 million eligible veterans, the opportunity to buy a house was suddenly at hand.","ⵙ ⵢⵉⵍⵉ ⵏ 16 ⵎⵍⵢⵓⵏ ⵏ ⵉⵙⵔⴷⴰⵙⵏ ⵉⵇⴱⵓⵔⵏ, ⵜⴳⴰ ⵎⵙⵖⵉⵡⵜ ⵏ ⵜⴳⵎⵎⵉ ⵢⴰⵜ ⵜⵖⴰⵡⵙⴰ ⵉⵔⵅⴰⵏ ⵛⵉⴳⴰⵏ."
"Developers purchased empty land just outside the city, installed tract houses based on a handful of designs, and provided streets and utilities, or local public officials race to build schools.","ⵙⵖⴰⵏ ⵉⵏⵙⴱⵓⵖⵍⴰ ⴰⴽⴰⵍ ⵢⵓⵔⴰⵏ ⴱⵕⵕⴰ ⵏ ⵜⵎⴷⵉⵏⵜ, ⵙⵙⵓⴷⵙⵏ ⴷⵉⴳⵙ ⵜⵉⴳⵯⵎⵎⴰ ⵉⵙⴽⴰⵏ ⵅⴼ ⵉⵎⵉⴽ ⵏ ⵡⴰⵀⵉⵍⵏ, ⵙⵙⴽⵔⵏ ⵉⵙⵓⴽⴰ ⴷ ⵜⵖⵎⵔⵉⵏ ⵏⵏⵙ, ⴰⵔ ⵜⵜⵏⴰⵖⵏ ⴷ ⵜⵉⵙⴽⵉ ⵏ ⵜⵉⵏⵎⴰⵍ."
Veterans could get one with a much lower down payment.,ⵖⵉⵏ ⵉⵙⵔⴷⴰⵙⵏ ⵉⵇⴱⵓⵔⵏ ⴰⴷ ⵉⵍⵉⵏ ⵢⴰⵜ ⴳ ⵢⴰⵜ ⵜⵉⴽⴽⵍⵜ.
"The growth of the suburbs was facilitated by the development of zoning laws, redlining and numerous innovations in transport.","ⵉⵜⵜⵓⵙⵀⵡⵏ ⵓⴱⵓⵖⵍⵓ ⵏ ⵜⵎⵏⴰⴹⵉⵏ ⵉⵜⵜⵉⵏ ⵉ ⵜⵎⴷⵉⵏⵜ ⵙ ⵓⵙⴱⵓⵖⵍⵓ ⵏ ⵉⵙⵍⴳⴰⵏ ⵉⴱⵟⵟⵓⵏ ⴰⵏⵙⵉⵡⵏ, ⴰⵔ ⵜⵜⴰⵍⵙⵏ ⵉ ⵓⵙⵖⵉⵡⵙ ⵏ ⴽⵉⴳⴰⵏ ⵏ ⵜⵡⴰⴼⵉⵜⵉⵏ ⴳ ⵢⵉⴳⵔ ⵏ ⵡⴰⵙⵙⴰⵢ."
African-Americans and other people of color largely remained concentrated within decaying cores of urban poverty.,ⵇⵇⵉⵎⴰⵏ ⵉⵎⵉⵔⵉⴽⴰⵏⵉⵜⵏ ⵏ ⵉⴼⵔⵉⵇⵢⴰ ⴷ ⵡⵉⵢⵢⴰⴹ ⵉⴽⵯⵍⴰⵏ ⵙ ⵓⵎⴰⵜⴰ ⴳ ⵡⴰⵏⵙⵉⵡⵏ ⵉⴽⵜⴰⵔⵏ ⵙ ⵓⵥⵍⴰⴹ ⴰⵖⵔⵎⴰⵏ.
"After World War II, availability of FHA loans stimulated a housing boom in American suburbs.","ⴼⴼⵉⵔ ⵉⵎⵏⵖⵉ ⴰⵎⴰⴹⵍⴰⵏ ⵡⵉⵙ ⵙⵉⵏ, ⵉⵃⵓⵣ ⵓⵕⵟⵟⴰⵍ ⵏ ⵜⴷⴱⵍⵜ ⵏ ⵓⵓⵣⴷⵓⵖ ⵜⴰⴼⵉⴷⵉⵕⴰⵍⵉⵜ ⵢⴰⵜ ⵜⵉⴳⴳⵉⴷⵉⵜ ⵏ ⵜⴰⴷⴷⵔⵡⵉⵏ ⴳ ⵜⵎⵉⵡⴰ ⵜⵉⵎⵉⵔⵉⴽⴰⵏⵉⵜⵉⵏ."
Economic growth in the United States encouraged the suburbanization of American cities that required massive investments for the new infrastructure and homes.,ⵉⵙⴱⵖⵙ ⵓⴱⵓⵖⵍⵓ ⴰⴷⴰⵎⵙⴰⵏ ⴳ ⵜⵡⵉⵍⴰⵢⴰⵜⵉⵏ ⵎⵓⵏⵏⵉⵏ ⵜⵉⴳⴰⵡⵜ ⵏ ⵜⵎⵉⵡⴰ ⵏ ⵜⵎⴷⵉⵏⵉⵏ ⵉⵙⵙⵓⵜⵓⵔⵏ ⴰⵣⵉⵣⵣⵍ ⴰⵅⴰⵜⴰⵔ ⴷ ⵓⵙⴽⵓ ⵓⴷⵎⴽⴰⵍ ⴰⵎⴰⵢⵏⵓ ⵏ ⵜⴰⴷⴷⵔⵡⵉⵏ.
"""An alternative strategy is the deliberate design of """"new towns"""" and the protection of green belts around cities.""",“ⵜⴰⵙⵜⵕⴰⵜⵉⵊⵉⵜ ⵜⴰⵎⴰⵢⵏⵓⵜ ⵜⴳⴰ ⵜⵜ ⴰⵙⵎⵀⵀⵍ ⵏ ““ⵜⵎⴷⵉⵏⵉⵏ ⵜⵉⵎⴰⵢⵏⵓⵜⵉⵏ”” ⴷ ⵃⵟⵟⵓ ⵏ ⵜⵙⵜⴰⵡⵉⵏ ⵜⵉⵣⴳⵣⴰⵡⵉⵏ ⵉⵜⵜⵉⵏ ⵉ ⵜⵎⴷⵉⵏⵉⵏ.”
